# time roll pitch roll
1609761770548656022 -8.42396 -7.84496 180.591
1609761770553656022 -8.46466 -7.88414 180.597
1609761770558656022 -8.50534 -7.92333 180.602
1609761770563656022 -8.49411 -7.97921 180.601
1609761770568656022 -8.48282 -8.03508 180.599
1609761770573656022 -8.5279 -8.06923 180.606
1609761770578656022 -8.5153 -8.01415 180.604
1609761770583656022 -8.52792 -8.06926 180.606
1609761770588656022 -8.5532 -8.01782 180.609
1609761770593656022 -8.52788 -8.06921 180.606
1609761770598656022 -8.55322 -8.01779 180.609
1609761770603656022 -8.58758 -7.97169 180.614
1609761770608656022 -8.55323 -8.01777 180.609
1609761770613656022 -8.51545 -7.97589 180.604
1609761770618656022 -8.47764 -7.93404 180.599
1609761770623656022 -8.4418 -7.97901 180.594
1609761770628656022 -8.40594 -8.02395 180.589
1609761770633656022 -8.3544 -8.00026 180.582
1609761770638656022 -8.40597 -8.02399 180.589
1609761770643656022 -8.43709 -7.97573 180.593
1609761770648656022 -8.46812 -7.92741 180.597
1609761770653656022 -8.52014 -7.95017 180.605
1609761770658656022 -8.57214 -7.97292 180.612
1609761770663656022 -8.57674 -8.02942 180.613
1609761770668656022 -8.58128 -8.08591 180.613
1609761770673656022 -8.52498 -8.07678 180.605
1609761770678656022 -8.46867 -8.06765 180.597
1609761770683656022 -8.49978 -8.01937 180.602
1609761770688656022 -8.53083 -7.97107 180.606
1609761770693656022 -8.53206 -8.02781 180.606
1609761770698656022 -8.53328 -8.08455 180.606
1609761770703656022 -8.59044 -8.07975 180.615
1609761770708656022 -8.53334 -8.08453 180.606
1609761770713656022 -8.48228 -8.05995 180.599
1609761770718656022 -8.4312 -8.03534 180.592
1609761770723656022 -8.48654 -8.04888 180.6
1609761770728656022 -8.54186 -8.06241 180.608
1609761770733656022 -8.48981 -8.03981 180.6
1609761770738656022 -8.43777 -8.0172 180.593
1609761770743656022 -8.44928 -7.96137 180.595
1609761770748656022 -8.46079 -7.90554 180.596
1609761770753656022 -8.41707 -7.86978 180.59
1609761770758656022 -8.37337 -7.83401 180.584
1609761770763656022 -8.38167 -7.89005 180.586
1609761770768656022 -8.38994 -7.9461 180.587
