# time x y z
1609761769743656022 -0.0010653 -0.0031959 0.0021306
1609761769748656022 -0.0031959 -0.0021306 0.0031959
1609761769753656022 -0.0031959 -0.0010653 0.0042612
1609761769758656022 -0.0053265 -0.0021306 0
1609761769763656022 -0.0063918 -0.0021306 0.0010653
1609761769768656022 -0.0031959 -0.0031959 0.0031959
1609761769773656022 -0.0053265 -0.0053265 0.0031959
1609761769778656022 -0.0031959 -0.0053265 0.0031959
1609761769783656022 -0.0053265 -0.0042612 0.0021306
1609761769788656022 -0.0063918 -0.0031959 0.0031959
1609761769793656022 -0.0085224 -0.0021306 0.0031959
1609761769798656022 -0.0042612 -0.0010653 0.0021306
1609761769803656022 -0.0010653 0.0010653 0.0042612
1609761769808656022 -0.0021306 0 0.0031959
1609761769813656022 -0.0042612 0 0
1609761769818656022 -0.0031959 -0.0010653 0.0010653
1609761769823656022 -0.0042612 0 0
1609761769828656022 -0.0010653 -0.0010653 0.0021306
1609761769833656022 -0.0010653 -0.0031959 -0.0010653
1609761769838656022 -0.0063918 -0.0010653 0.0021306
1609761769843656022 -0.0074571 -0.0042612 0.0031959
1609761769848656022 -0.0074571 -0.0053265 0.0021306
1609761769853656022 -0.0085224 -0.0042612 0.0021306
1609761769858656022 -0.0085224 -0.0021306 0.0010653
1609761769863656022 -0.0053265 -0.0042612 0.0010653
1609761769868656022 -0.0042612 -0.0021306 0.0031959
1609761769873656022 -0.0042612 -0.0010653 0.0021306
1609761769878656022 -0.0021306 0 0.0010653
1609761769883656022 -0.0010653 -0.0010653 0.0010653
1609761769888656022 -0.0031959 -0.0010653 0.0010653
1609761769893656022 -0.0010653 -0.0010653 0.0031959
1609761769898656022 -0.0031959 0 0.0010653
1609761769903656022 -0.0063918 -0.0021306 0.0021306
1609761769908656022 -0.0053265 -0.0042612 0.0021306
1609761769913656022 -0.0063918 -0.0010653 0.0010653
1609761769918656022 -0.0074571 -0.0021306 0.0042612
1609761769923656022 -0.0042612 -0.0031959 0.0042612
1609761769928656022 -0.0042612 -0.0021306 0.0042612
1609761769933656022 -0.0042612 0.0021306 0.0010653
1609761769938656022 -0.0021306 0 0.0010653
1609761769943656022 -0.0010653 0.0021306 0.0031959
1609761769948656022 -0.0010653 0 0.0021306
1609761769953656022 -0.0010653 -0.0010653 -0.0010653
1609761769958656022 -0.0031959 0 0.0021306
1609761769963656022 -0.0053265 -0.0031959 0.0031959
1609761769968656022 -0.0074571 -0.0021306 0.0042612
1609761769973656022 -0.0074571 -0.0053265 0.0031959
1609761769978656022 -0.0063918 -0.0021306 0.0031959
1609761769983656022 -0.0074571 -0.0042612 0.0042612
1609761769988656022 -0.0063918 -0.0053265 0.0031959
1609761769993656022 -0.0042612 -0.0021306 0.0031959
1609761769998656022 -0.0042612 0 0
1609761770003656022 -0.0031959 0.0010653 0.0010653
1609761770008656022 -0.0063918 0.0010653 -0.0010653
1609761770013656022 -0.0053265 0.0010653 -0.0010653
1609761770018656022 -0.0042612 -0.0042612 0
1609761770023656022 -0.0031959 -0.0021306 0.0031959
1609761770028656022 -0.0063918 -0.0010653 0.0053265
1609761770033656022 -0.0053265 0 0.0031959
1609761770038656022 -0.0074571 -0.0021306 0.0031959
1609761770043656022 -0.0085224 -0.0042612 0.0010653
1609761770048656022 -0.0074571 -0.0074571 0.0031959
1609761770053656022 -0.0074571 -0.0021306 0.0042612
1609761770058656022 -0.0053265 -0.0031959 0.0031959
1609761770063656022 -0.0021306 -0.0010653 0.0010653
1609761770068656022 -0.0021306 0 -0.0010653
1609761770073656022 -0.0021306 0 0
1609761770078656022 -0.0053265 0.0010653 0
1609761770083656022 -0.0031959 0 0.0031959
1609761770088656022 -0.0042612 -0.0021306 0.0063918
1609761770093656022 -0.0063918 -0.0031959 0.0021306
1609761770098656022 -0.0053265 -0.0042612 0.0010653
1609761770103656022 -0.0053265 -0.0042612 0.0053265
1609761770108656022 -0.0085224 -0.0021306 0.0042612
1609761770113656022 -0.0053265 -0.0010653 0.0031959
1609761770118656022 -0.0042612 -0.0031959 0.0010653
1609761770123656022 -0.0010653 -0.0010653 0.0021306
1609761770128656022 -0.0042612 0 0.0021306
1609761770133656022 -0.0042612 0.0021306 -0.0010653
1609761770138656022 -0.0021306 0 0.0021306
1609761770143656022 -0.0063918 -0.0010653 0.0021306
1609761770148656022 -0.0074571 -0.0021306 0.0010653
1609761770153656022 -0.0085224 -0.0042612 0
1609761770158656022 -0.0063918 -0.0042612 0.0021306
1609761770163656022 -0.0063918 -0.0021306 0.0031959
1609761770168656022 -0.0031959 -0.0021306 0.0042612
1609761770173656022 -0.0042612 -0.0031959 0.0010653
1609761770178656022 -0.0042612 -0.0031959 0
1609761770183656022 0 -0.0010653 0.0010653
1609761770188656022 0 0.0021306 0.0021306
1609761770193656022 -0.0031959 0.0021306 0.0021306
1609761770198656022 -0.0042612 -0.0021306 0.0053265
1609761770203656022 -0.0053265 -0.0031959 0.0021306
1609761770208656022 -0.0063918 -0.0021306 0
1609761770213656022 -0.0074571 -0.0053265 0.0010653
1609761770218656022 -0.010653 -0.0063918 0.0021306
1609761770223656022 -0.0074571 -0.0053265 0.0031959
1609761770228656022 -0.0074571 -0.0031959 0.0042612
1609761770233656022 -0.0053265 -0.0031959 0.0031959
1609761770238656022 -0.0031959 -0.0010653 0.0031959
1609761770243656022 -0.0031959 -0.0021306 0.0021306
1609761770248656022 0 -0.0031959 0.0010653
1609761770253656022 -0.0021306 -0.0021306 0.0010653
1609761770258656022 -0.0031959 0 0.0010653
1609761770263656022 -0.0021306 0.0010653 0.0021306
1609761770268656022 -0.0031959 -0.0010653 0.0010653
1609761770273656022 -0.0042612 -0.0010653 0.0031959
1609761770278656022 -0.0063918 0 0.0031959
1609761770283656022 -0.0085224 -0.0010653 0.0042612
1609761770288656022 -0.0085224 -0.0042612 0.0031959
1609761770293656022 -0.0063918 -0.0031959 0.0010653
1609761770298656022 -0.0063918 0 0.0021306
1609761770303656022 -0.0074571 0 0.0010653
1609761770308656022 -0.0042612 -0.0010653 0.0031959
1609761770313656022 -0.0031959 0 0
1609761770318656022 -0.0021306 -0.0031959 0.0031959
1609761770323656022 -0.0053265 -0.0010653 0.0021306
1609761770328656022 -0.0021306 -0.0010653 0.0021306
1609761770333656022 -0.0042612 -0.0010653 0.0010653
1609761770338656022 -0.0053265 0 0.0021306
1609761770343656022 -0.0085224 -0.0031959 0.0021306
1609761770348656022 -0.0085224 -0.0021306 0.0010653
1609761770353656022 -0.00958769 -0.0031959 0.0021306
1609761770358656022 -0.0053265 -0.0042612 0.0042612
1609761770363656022 -0.0042612 -0.0042612 0.0021306
1609761770368656022 -0.0053265 -0.0021306 0.0010653
1609761770373656022 -0.0031959 -0.0010653 0.0021306
1609761770378656022 -0.0053265 0 0.0031959
1609761770383656022 -0.0042612 0 0.0021306
1609761770388656022 -0.0031959 0 0.0010653
1609761770393656022 -0.0042612 0 0
1609761770398656022 -0.0021306 0.0010653 0
1609761770403656022 -0.0031959 0.0010653 0.0010653
1609761770408656022 -0.0053265 -0.0021306 0.0031959
1609761770413656022 -0.0042612 -0.0053265 0.0053265
1609761770418656022 -0.0063918 -0.0042612 0.0010653
1609761770423656022 -0.0063918 -0.0021306 0.0010653
1609761770428656022 -0.0063918 -0.0021306 0.0042612
1609761770433656022 -0.0031959 -0.0031959 0.0053265
1609761770438656022 -0.0042612 -0.0021306 0.0010653
1609761770443656022 -0.0042612 0 0.0031959
1609761770448656022 -0.0031959 -0.0010653 0
1609761770453656022 -0.0053265 0 0
1609761770458656022 -0.0031959 0.0021306 0.0021306
1609761770463656022 0.0010653 0.0031959 0.0010653
1609761770468656022 -0.0010653 -0.0021306 0.0031959
1609761770473656022 -0.0074571 -0.0021306 0.0031959
1609761770478656022 -0.0053265 -0.0031959 0.0010653
1609761770483656022 -0.0074571 -0.0042612 0.0021306
1609761770488656022 -0.0085224 -0.0031959 0.0042612
